Link,MLS,Address,Status,Asking,Zillow
,1306728,"107 America St, Charleston, SC 29403",Price Changed,"$229,000 ","http://www.zillow.com/homes/107 America St, Charleston, SC 29403_rb/"
,1314427,"572 Rosings Dr, Summerville, SC 29483",Back on Market,"$239,900 ","http://www.zillow.com/homes/572 Rosings Dr, Summerville, SC 29483_rb/"
,1315373,"7580 High Maple Cir, North Charleston, SC 29418",Back on Market,"$219,900 ","http://www.zillow.com/homes/7580 High Maple Cir, North Charleston, SC 29418_rb/"
,1322811,"555 Crossland Dr, Moncks Corner, SC 29461",Price Changed,"$199,890 ","http://www.zillow.com/homes/555 Crossland Dr, Moncks Corner, SC 29461_rb/"
,1322994,"324 Bracken Fern Rd, Moncks Corner, SC 29461-6471",Price Changed,"$260,000 ","http://www.zillow.com/homes/324 Bracken Fern Rd, Moncks Corner, SC 29461-6471_rb/"
,1326185,"72 Fort Royal Ave, Charleston, SC 29407",Price Changed,"$200,000 ","http://www.zillow.com/homes/72 Fort Royal Ave, Charleston, SC 29407_rb/"
,1327124,"5096 Ballantine Dr, Summerville, SC 29485",Price Changed,"$199,900 ","http://www.zillow.com/homes/5096 Ballantine Dr, Summerville, SC 29485_rb/"
,1327342,"113 Willow Bend Ln, Summerville, SC 29485",Back on Market,"$200,000 ","http://www.zillow.com/homes/113 Willow Bend Ln, Summerville, SC 29485_rb/"
,1328107,"821 Santee St, Charleston, SC 29412-3532",Price Changed,"$253,900 ","http://www.zillow.com/homes/821 Santee St, Charleston, SC 29412-3532_rb/"
,1328111,"229 Oglethorpe Cir, Moncks Corner, SC 29461",Price Changed,"$187,569 ","http://www.zillow.com/homes/229 Oglethorpe Cir, Moncks Corner, SC 29461_rb/"
,1328872,"9 Skyeman Dr, Charleston, SC 29414",Price Changed,"$234,900 ","http://www.zillow.com/homes/9 Skyeman Dr, Charleston, SC 29414_rb/"
,1329305,"823 Bermuda St, James Island, SC 29412",Price Changed,"$189,900 ","http://www.zillow.com/homes/823 Bermuda St, James Island, SC 29412_rb/"
,1329789,"2920 Split Hickory Ct, Johns Island, SC 29455",Price Changed,"$249,000 ","http://www.zillow.com/homes/2920 Split Hickory Ct, Johns Island, SC 29455_rb/"
,1330406,"218 Topsaw Ln, Moncks Corner, SC 29461",Price Changed,"$229,970 ","http://www.zillow.com/homes/218 Topsaw Ln, Moncks Corner, SC 29461_rb/"
,1330646,"5220 Bristol St, Summerville, SC 29485",Price Changed,"$198,750 ","http://www.zillow.com/homes/5220 Bristol St, Summerville, SC 29485_rb/"
,1400805,"310 Cabell St, Charleston, SC 29407",Price Changed,"$184,850 ","http://www.zillow.com/homes/310 Cabell St, Charleston, SC 29407_rb/"
,1401654,"109 Winchester Cir, Goose Creek, SC 29445",Back on Market,"$232,500 ","http://www.zillow.com/homes/109 Winchester Cir, Goose Creek, SC 29445_rb/"
,1402384,"129 Brutus Ln, Summerville, SC 29485",Price Changed,"$249,900 ","http://www.zillow.com/homes/129 Brutus Ln, Summerville, SC 29485_rb/"
,1403902,"1232 Sumner Ave, North Charleston, SC 29406",Price Changed,"$179,000 ","http://www.zillow.com/homes/1232 Sumner Ave, North Charleston, SC 29406_rb/"
,1404277,"443 Cotton Hope Ln, Summerville, SC 29483",Price Changed,"$205,000 ","http://www.zillow.com/homes/443 Cotton Hope Ln, Summerville, SC 29483_rb/"
,1404510,"185 Fishburne St, Charleston, SC 29403",Price Changed,"$240,000 ","http://www.zillow.com/homes/185 Fishburne St, Charleston, SC 29403_rb/"
,1404997,"125 Balbriggan Dr, Goose Creek, SC 29445",Price Changed,"$204,975 ","http://www.zillow.com/homes/125 Balbriggan Dr, Goose Creek, SC 29445_rb/"
,1405160,"7588 High Maple Cir, North Charleston, SC 29418",Back on Market,"$209,900 ","http://www.zillow.com/homes/7588 High Maple Cir, North Charleston, SC 29418_rb/"
,1405515,"1407 Gemstone Blvd, Hanahan, SC 29410",Price Changed,"$229,900 ","http://www.zillow.com/homes/1407 Gemstone Blvd, Hanahan, SC 29410_rb/"
,1405706,"1191 Bradford Ave, Charleston, SC 29412",Price Changed,"$188,900 ","http://www.zillow.com/homes/1191 Bradford Ave, Charleston, SC 29412_rb/"
,1405979,"283 Mayfield Dr, Goose Creek, SC 29445",Price Changed,"$213,500 ","http://www.zillow.com/homes/283 Mayfield Dr, Goose Creek, SC 29445_rb/"
,1406172,"189 Mayfield Dr, Goose Creek, SC 29445",Price Changed,"$239,747 ","http://www.zillow.com/homes/189 Mayfield Dr, Goose Creek, SC 29445_rb/"
,1406699,"1005 Ariel Ct, Summerville, SC 29485",Back on Market,"$260,000 ","http://www.zillow.com/homes/1005 Ariel Ct, Summerville, SC 29485_rb/"
,1406870,"1735 Towne St, Johns Island, SC 29455",Price Changed,"$247,900 ","http://www.zillow.com/homes/1735 Towne St, Johns Island, SC 29455_rb/"
,1406906,"1458 Coopers Hawk Dr, Hanahan, SC 29410",Price Changed,"$239,900 ","http://www.zillow.com/homes/1458 Coopers Hawk Dr, Hanahan, SC 29410_rb/"
,1407328,"113 Pointer Dr, Summerville, SC 29485",Price Changed,"$165,000 ","http://www.zillow.com/homes/113 Pointer Dr, Summerville, SC 29485_rb/"
,1407330,"8476 Signal Island Dr, North Charleston, SC 29420",Price Changed,"$239,500 ","http://www.zillow.com/homes/8476 Signal Island Dr, North Charleston, SC 29420_rb/"
,1407353,"91 Cross Timbers Dr, Summerville, SC 29485-8486",Price Changed,"$200,000 ","http://www.zillow.com/homes/91 Cross Timbers Dr, Summerville, SC 29485-8486_rb/"
,1407672,"1054 Cobblestone Blvd, Summerville, SC 29483",Price Changed,"$179,900 ","http://www.zillow.com/homes/1054 Cobblestone Blvd, Summerville, SC 29483_rb/"
,1407692,"5099 Ballantine Dr, Summerville, SC 29485",Price Changed,"$214,500 ","http://www.zillow.com/homes/5099 Ballantine Dr, Summerville, SC 29485_rb/"
,1407741,"307 Albrighton Way, Moncks Corner, SC 29461-8859",Price Changed,"$218,500 ","http://www.zillow.com/homes/307 Albrighton Way, Moncks Corner, SC 29461-8859_rb/"
,1407840,"119 Guildford Dr, Goose Creek, SC 29445",Price Changed,"$205,000 ","http://www.zillow.com/homes/119 Guildford Dr, Goose Creek, SC 29445_rb/"
,1407910,"309 Fairington Dr, Summerville, SC 29485",Price Changed,"$199,900 ","http://www.zillow.com/homes/309 Fairington Dr, Summerville, SC 29485_rb/"
,1407915,"5094 Ballantine Dr, Summerville, SC 29485",Price Changed,"$164,900 ","http://www.zillow.com/homes/5094 Ballantine Dr, Summerville, SC 29485_rb/"
,1408089,"100 Orchard Park Dr, Summerville, SC 29485",Price Changed,"$238,000 ","http://www.zillow.com/homes/100 Orchard Park Dr, Summerville, SC 29485_rb/"
,1408215,"119 Fairhaven Dr, Goose Creek, SC 29445",Price Changed,"$211,000 ","http://www.zillow.com/homes/119 Fairhaven Dr, Goose Creek, SC 29445_rb/"
,1408269,"2111 Razorback Ln, Charleston, SC 29414",Price Changed,"$224,800 ","http://www.zillow.com/homes/2111 Razorback Ln, Charleston, SC 29414_rb/"
,1408283,"1441 Ashley Garden Blvd, Charleston, SC 29414",Price Changed,"$249,900 ","http://www.zillow.com/homes/1441 Ashley Garden Blvd, Charleston, SC 29414_rb/"
